#UniProtKB_ac	UniProtKB_ac	type
Q86VP1	Q86VP1	Predicted
Q8WUM4	Q8WUM4	Predicted
Q6UWE0	Q6UWE0	Predicted
O00499	O00499	Predicted
P06744	P06744	Curated
Q8TB24	Q8TB24	Predicted
P62256	P62256	Predicted
Q06124	Q06124	Predicted
P04792	P04792	Predicted
P32121	P32121	Curated
P00519	P00519	Predicted
O14503	O14503	Predicted
P02511	P02511	Curated
P62136	P62136	Predicted
P63279	P63279	Predicted
P60520	P60520	Predicted
P21860	P21860	Predicted
Q9UMS4	Q9UMS4	Predicted
P23219	P23219	Curated
O15287	O15287	Predicted
P07359	P07359	Predicted
Q00613	Q00613	Predicted
Q15024	Q15024	Predicted
P0CG48	P0CG48	Predicted
O75674	O75674	Predicted
Q13492	Q13492	Curated
P25788	P25788	Predicted
Q96RG2	Q96RG2	Predicted
P43405	P43405	Predicted
P04637	P04637	Predicted
Q8N0Z3	Q8N0Z3	Predicted
P50222	P50222	Predicted
Q08117	Q08117	Predicted
P16333	P16333	Predicted
Q15038	Q15038	Predicted
Q05516	Q05516	Predicted
P14373	P14373	Predicted
Q13387	Q13387	Predicted
Q9Y6Q9	Q9Y6Q9	Predicted
P80188	P80188	Predicted
P27361	P27361	Predicted
P62993	P62993	Predicted
P14618	P14618	Curated
P0DP23	P0DP23	Predicted
P78352	P78352	Predicted
Q9NPI8	Q9NPI8	Predicted
P11142	P11142	Predicted
Q9H6Y7	Q9H6Y7	Predicted
Q9Y2D8	Q9Y2D8	Predicted
P27540	P27540	Predicted
Q16659	Q16659	Predicted
Q13200	Q13200	Predicted
O43318	O43318	Predicted
P84022	P84022	Predicted
Q13064	Q13064	Predicted
P00558	P00558	Curated
P36776	P36776	Curated
A5D8V6	A5D8V6	Predicted
O00204	O00204	Predicted
Q9UHD9	Q9UHD9	Predicted
P40763	P40763	Predicted
P28702	P28702	Predicted
P54253	P54253	Predicted
P68036	P68036	Predicted
P12931	P12931	Predicted
P04278	P04278	Predicted
Q9UQE7	Q9UQE7	Curated
P06733	P06733	Predicted
Q13114	Q13114	Predicted
P42684	P42684	Predicted
Q92997	Q92997	Predicted
P00734	P00734	Curated
P61077	P61077	Predicted
Q05086	Q05086	Predicted
Q9BWF3	Q9BWF3	Predicted
P19971	P19971	Curated
Q5SW96	Q5SW96	Curated
Q9Y4K3	Q9Y4K3	Predicted
Q15843	Q15843	Predicted
O00308	O00308	Predicted
O15530	O15530	Predicted
